adjectives,answer,image_file,noun_lemma,people,qa_id,question,question_phrase,relevant,type
brown,brown pant found,16.jpg,pant,people,12,how many people are to the left of the boy in the brown pants,brown pant,1,attribute
brown,no brown pant found,2328281.jpg,pant,people,-12,how many people are to the left of the boy in the brown pants,brown pant,0,attribute
white,white shirt found,61578.jpg,shirt,boy,32,how many boys are wearing white shirts,white shirt,1,attribute
white,no white shirt found,2337344.jpg,shirt,boy,-32,how many boys are wearing white shirts,white shirt,0,attribute
blue,blue shirt found,107905.jpg,shirt,guy,68,where is the guy with the light blue shirt,blue shirt,1,attribute
blue,no blue shirt found,2387705.jpg,shirt,guy,-68,where is the guy with the light blue shirt,blue shirt,0,attribute
red,red jacket found,150290.jpg,jacket,person,82,where is the person with the red jacket,red jacket,1,attribute
red,no red jacket found,2381967.jpg,jacket,person,-82,where is the person with the red jacket,red jacket,0,attribute
striped,striped shirt found,150377.jpg,shirt,guy,110,what is on the guy's face that is wearing a striped shirt,striped shirt,1,attribute
striped,no striped shirt found,2396550.jpg,shirt,guy,-110,what is on the guy's face that is wearing a striped shirt,striped shirt,0,attribute
red,red jacket found,150386.jpg,coat,woman,120,what is the woman in the red coat doing,red jacket,1,attribute
red,no red jacket found,2413830.jpg,coat,woman,-120,what is the woman in the red coat doing,red jacket,0,attribute
gray,gray jacket found,150386.jpg,coat,woman,126,what color are the are the boots of the woman with a gray coat,gray jacket,1,attribute
gray,no gray jacket found,2373246.jpg,coat,woman,-126,what color are the are the boots of the woman with a gray coat,gray jacket,0,attribute
black,black shirt found,150412.jpg,shirt,woman,134,where is the woman in the black shirt,black shirt,1,attribute
black,no black shirt found,2367409.jpg,shirt,woman,-134,where is the woman in the black shirt,black shirt,0,attribute
blue,blue jacket found,150436.jpg,jacket,people,148,how many people are in blue jackets,blue jacket,1,attribute
blue,no blue jacket found,2374764.jpg,jacket,people,-148,how many people are in blue jackets,blue jacket,0,attribute
curly,curly hair found,150458.jpg,hair,child,154,what color is the child's curly hair,curly hair,1,attribute
curly,no curly hair found,2410868.jpg,hair,child,-154,what color is the child's curly hair,curly hair,0,attribute
orange,orange shirt found,150463.jpg,shirt,person,158,where is the person with the orange shirt,orange shirt,1,attribute
orange,no orange shirt found,2412241.jpg,shirt,person,-158,where is the person with the orange shirt,orange shirt,0,attribute
red,red shirt found,150496.jpg,shirt,people,176,how many people in red shirts,red shirt,1,attribute
red,no red shirt found,2317639.jpg,shirt,people,-176,how many people in red shirts,red shirt,0,attribute
brown,brown shirt found,150496.jpg,shirt,man,182,where is the man in the brown shirt sitting,brown shirt,1,attribute
brown,no brown shirt found,2366445.jpg,shirt,man,-182,where is the man in the brown shirt sitting,brown shirt,0,attribute
long,long hair found,2414388.jpg,hair,person,206,what hair style does the person with the long hair have,long hair,1,attribute
long,no long hair found,2413886.jpg,hair,person,-206,what hair style does the person with the long hair have,long hair,0,attribute
brown,brown shirt found,2413306.jpg,shirt,boy,240,what does the brown shirt say on the boy with the blue and white hat,brown shirt,1,attribute
brown,no brown shirt found,285960.jpg,shirt,boy,-240,what does the brown shirt say on the boy with the blue and white hat,brown shirt,0,attribute
striped,striped shirt found,2412079.jpg,shirt,people,252,who are the people in the striped shirts,striped shirt,1,attribute
striped,no striped shirt found,1731.jpg,shirt,people,-252,who are the people in the striped shirts,striped shirt,0,attribute
white,white jacket found,2411414.jpg,jacket,person,298,where is the person in navy blue and white jacket,white jacket,1,attribute
white,no white jacket found,498183.jpg,jacket,person,-298,where is the person in navy blue and white jacket,white jacket,0,attribute
brown,brown hair found,2411206.jpg,hair,man,336,what does the man with the brown hair have on the face,brown hair,1,attribute
brown,no brown hair found,2333523.jpg,hair,man,-336,what does the man with the brown hair have on the face,brown hair,0,attribute
red,red jacket found,2410673.jpg,jacket,people,396,how many people are wearing red jacket,red jacket,1,attribute
red,no red jacket found,2348721.jpg,jacket,people,-396,how many people are wearing red jacket,red jacket,0,attribute
black,black shirt found,2410582.jpg,shirt,woman,404,what is the woman wearing over the black shirt,black shirt,1,attribute
black,no black shirt found,2337687.jpg,shirt,woman,-404,what is the woman wearing over the black shirt,black shirt,0,attribute
black,black jacket found,2410192.jpg,jacket,people,444,how many people wearing black jackets,black jacket,1,attribute
black,no black jacket found,2415236.jpg,jacket,people,-444,how many people wearing black jackets,black jacket,0,attribute
blue,blue jacket found,2410046.jpg,jacket,woman,454,where are the goggles of the woman with the blue jacket,blue jacket,1,attribute
blue,no blue jacket found,2404362.jpg,jacket,woman,-454,where are the goggles of the woman with the blue jacket,blue jacket,0,attribute
grey,gray jacket found,2409472.jpg,jacket,woman,502,what is the woman in the grey jacket holding,gray jacket,1,attribute
grey,no gray jacket found,2327014.jpg,jacket,woman,-502,what is the woman in the grey jacket holding,gray jacket,0,attribute
blue,blue pant found,2409296.jpg,pant,man,508,what is underneath the man's feet wearing blue pants,blue pant,1,attribute
blue,no blue pant found,2387944.jpg,pant,man,-508,what is underneath the man's feet wearing blue pants,blue pant,0,attribute
striped,striped shirt found,2408889.jpg,shirt,man,576,what is the man in the striped shirt holding,striped shirt,1,attribute
striped,no striped shirt found,2376668.jpg,shirt,man,-576,what is the man in the striped shirt holding,striped shirt,0,attribute
blue,blue jacket found,2408945.jpg,jacket,man,582,why is the man wearing a blue jacket,blue jacket,1,attribute
blue,no blue jacket found,2399412.jpg,jacket,man,-582,why is the man wearing a blue jacket,blue jacket,0,attribute
gray,gray pant found,2408950.jpg,pant,man,584,who is the man in the gray pants,gray pant,1,attribute
gray,no gray pant found,2383905.jpg,pant,man,-584,who is the man in the gray pants,gray pant,0,attribute
green,green shirt found,2408963.jpg,shirt,boy,586,what is in the hands of the boy with the green shirt,green shirt,1,attribute
green,no green shirt found,2410826.jpg,shirt,boy,-586,what is in the hands of the boy with the green shirt,green shirt,0,attribute
blue,blue shirt found,2408436.jpg,shirt,man,622,what is the man in blue shirt doing,blue shirt,1,attribute
blue,no blue shirt found,2363756.jpg,shirt,man,-622,what is the man in blue shirt doing,blue shirt,0,attribute
gray,gray jacket found,2408272.jpg,jacket,people,636,how many people are in gray jackets,gray jacket,1,attribute
gray,no gray jacket found,1592311.jpg,jacket,people,-636,how many people are in gray jackets,gray jacket,0,attribute
black,black hat found,2408267.jpg,hat,people,640,how many people are in black hats and uniforms,black hat,1,attribute
black,no black hat found,150370.jpg,hat,people,-640,how many people are in black hats and uniforms,black hat,0,attribute
curly,curly hair found,2408162.jpg,hair,woman,652,how many women have curly hair,curly hair,1,attribute
curly,no curly hair found,2329628.jpg,hair,woman,-652,how many women have curly hair,curly hair,0,attribute
orange,orange shirt found,2407734.jpg,shirt,man,708,what are the two men in orange shirts sitting in,orange shirt,1,attribute
orange,no orange shirt found,2412618.jpg,shirt,man,-708,what are the two men in orange shirts sitting in,orange shirt,0,attribute
red,red jacket found,2407094.jpg,coat,man,782,what color headband does the man in the red coat have,red jacket,1,attribute
red,no red jacket found,2387546.jpg,coat,man,-782,what color headband does the man in the red coat have,red jacket,0,attribute
yellow,yellow shirt found,2406407.jpg,shirt,woman,872,how many women are wearing yellow shirts,yellow shirt,1,attribute
yellow,no yellow shirt found,2370866.jpg,shirt,woman,-872,how many women are wearing yellow shirts,yellow shirt,0,attribute
striped,striped shirt found,2405843.jpg,shirt,woman,928,what is leaning behind the woman in the striped shirt,striped shirt,1,attribute
striped,no striped shirt found,2357902.jpg,shirt,woman,-928,what is leaning behind the woman in the striped shirt,striped shirt,0,attribute
white,white dress found,2405820.jpg,dress,woman,932,what kind of shoes is the woman in the black and white dress wearing,white dress,1,attribute
white,no white dress found,2354285.jpg,dress,woman,-932,what kind of shoes is the woman in the black and white dress wearing,white dress,0,attribute
dark,dark pant found,2405817.jpg,pant,man,936,how many men are wearing a blue shirt and dark pants,dark pant,1,attribute
dark,no dark pant found,2344871.jpg,pant,man,-936,how many men are wearing a blue shirt and dark pants,dark pant,0,attribute
brown,brown pant found,2405352.jpg,pant,lady,956,what color jacket do the lady have on with the brown pants,brown pant,1,attribute
brown,no brown pant found,2382948.jpg,pant,lady,-956,what color jacket do the lady have on with the brown pants,brown pant,0,attribute
yellow,yellow shirt found,2405312.jpg,shirt,boy,974,what is the name of the plant behind the boy in the yellow shirt,yellow shirt,1,attribute
yellow,no yellow shirt found,2393683.jpg,shirt,boy,-974,what is the name of the plant behind the boy in the yellow shirt,yellow shirt,0,attribute
red,red hair found,2405294.jpg,hair,woman,980,what color shirt is the woman with red hair wearing,red hair,1,attribute
red,no red hair found,2340001.jpg,hair,woman,-980,what color shirt is the woman with red hair wearing,red hair,0,attribute
plaid,plaid shirt found,2404886.jpg,shirt,person,1030,where is the person with the plaid shirt,plaid shirt,1,attribute
plaid,no plaid shirt found,2383539.jpg,shirt,person,-1030,where is the person with the plaid shirt,plaid shirt,0,attribute
black,black hat found,2404835.jpg,hat,man,1052,where is the man wearing a black shirt and black hat,black hat,1,attribute
black,no black hat found,1592988.jpg,hat,man,-1052,where is the man wearing a black shirt and black hat,black hat,0,attribute
long,long hair found,2404665.jpg,hair,man,1064,where is the man with long hair,long hair,1,attribute
long,no long hair found,2353289.jpg,hair,man,-1064,where is the man with long hair,long hair,0,attribute
blue,blue shirt found,2404328.jpg,shirt,man,1108,where is the man in the blue shirt,blue shirt,1,attribute
blue,no blue shirt found,2415796.jpg,shirt,man,-1108,where is the man in the blue shirt,blue shirt,0,attribute
black,black pant found,2404024.jpg,pant,woman,1150,where are the women wearing black pants,black pant,1,attribute
black,no black pant found,2380518.jpg,pant,woman,-1150,where are the women wearing black pants,black pant,0,attribute
curly,curly hair found,2403935.jpg,hair,woman,1168,where is the woman with curly hair,curly hair,1,attribute
curly,no curly hair found,2320281.jpg,hair,woman,-1168,where is the woman with curly hair,curly hair,0,attribute
white,white jacket found,2403883.jpg,coat,woman,1174,what is attached to the front of the helmet of the woman in the white coat on the right side of the photo,white jacket,1,attribute
white,no white jacket found,2341080.jpg,coat,woman,-1174,what is attached to the front of the helmet of the woman in the white coat on the right side of the photo,white jacket,0,attribute
white,white dress found,2403726.jpg,dress,girl,1188,what is the girl in the white dress eating,white dress,1,attribute
white,no white dress found,2330011.jpg,dress,girl,-1188,what is the girl in the white dress eating,white dress,0,attribute
brown,brown jacket found,2403499.jpg,jacket,man,1214,what is the man in the brown jacket doing,brown jacket,1,attribute
brown,no brown jacket found,1159308.jpg,jacket,man,-1214,what is the man in the brown jacket doing,brown jacket,0,attribute
short,short hair found,2403490.jpg,hair,girl,1218,what is right behind the girl with short hair,short hair,1,attribute
short,no short hair found,2393244.jpg,hair,girl,-1218,what is right behind the girl with short hair,short hair,0,attribute
